lefthand,righthand,leftleg,rightleg,leftshoulder,rightshoulder,results
179.3287042,170.5797781,177.0670288,76.66798824,98.23917552,101.8237164,good
179.1315406,174.6116359,57.51148343,168.7298917,125.2005931,82.11538271,good
173.1121257,177.3914985,38.4855034,179.2033396,136.5795554,62.04023342,good
170.1306861,93.40982001,50.03174236,154.988646,127.8896465,66.32739451,keep your upper body straight to leg
177.7156667,178.4795618,154.4833599,104.7815499,120.3858337,103.451965,good
174.8980226,171.4122136,60.9435602,163.9836142,117.7367316,76.45479219,good
176.0420542,171.5549675,50.79760933,177.0955097,123.3293363,68.8115371,good
162.34759,168.0242722,74.26914607,161.1953335,108.462023,96.9920411,good
176.5544961,173.5191046,48.1182844,171.4779454,130.1230376,73.85530481,keep your upper body straight to leg
175.0606908,142.2141925,76.62265834,158.751911,94.93180513,46.54119698,good
179.5372569,169.1252592,166.0093447,70.12325984,109.0098322,102.2591068,good
173.6223405,157.3454304,167.0052065,83.92313198,79.96464117,86.33443761,good
175.9821378,179.2368872,50.93039199,166.5893389,127.3396074,82.46053276,good
161.0244794,178.6997003,171.1889971,90.41064978,164.3997624,56.83031501,legs need to be straight
174.555204,170.3349472,178.1693123,174.7185027,170.0018768,160.4005395,not doing properly
167.1945297,175.2889428,149.4497232,71.64115582,127.9327322,85.25585732,not doing properly
176.3776406,174.8504736,57.37338103,57.28203925,160.4750383,160.3306941,not doing properly
174.2253008,179.3199135,167.3601699,52.72144429,77.48639124,129.4564897,good
175.0168351,174.1134222,120.4111175,169.8251341,115.3784691,85.78715489,good
178.7423576,175.204647,166.0777957,96.00700541,107.5695137,98.25873015,good
144.5356058,175.8111727,173.582502,60.58617558,39.12263486,131.9784398,good
177.3440744,174.5364434,175.2251115,57.88295032,79.6159594,119.4830617,good
175.5729912,178.4942731,174.6161869,98.30422707,110.8369945,100.5068741,good
179.0776602,172.8382292,109.0989104,172.3572286,104.2324579,107.6051092,good
146.9402914,150.6702052,177.4510768,173.9197805,19.8323244,17.44705019,not doing properly
26.86911018,23.43467072,176.8508241,173.83836,14.15633087,12.65757301,not doing properly
62.09697161,144.8535663,165.8236635,155.7919042,18.18772811,11.11742795,not doing properly
144.1719674,135.1759715,152.1298447,165.3690752,10.16887785,14.80082257,not doing properly
84.56018136,89.52605701,146.9045638,150.0558373,14.66130342,9.676412986,not doing properly
173.414584,173.268939,87.41052878,74.52186262,89.2793817,101.7376588,not doing properly
153.5745584,166.1113937,148.4820162,149.420878,24.6175638,38.34463213,not doing properly
169.6200028,165.8281931,123.3519563,131.9806767,51.66143575,43.08008336,not doing properly
164.7484988,163.2549986,142.0432034,149.4772264,31.93151444,24.73810083,not doing properly
178.1162097,178.5519865,171.9950322,174.9660319,12.7467336,10.40015776,you are being stationary
1.381656096,3.755874471,172.7729273,177.085199,18.64574584,17.96983227,you are being stationary
173.8852464,172.3765312,166.3326588,146.8828424,18.63483311,71.60345537,not bad
