0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,results
83.3247891,81.21592723,175.8347959,177.5618296,79.24541519,79.32490303,177.0682585,179.7565217,112.4119538,110.4414418,110.5209296,107.8665578,80.34098347,177.0499909,179.1033223,78.90845443,78.70579483,177.4978232,179.3791976,102.2540885,100.8215594,100.6188998,done perfectly
176.740614,53.50591654,175.8637773,176.1630356,55.34757442,57.12444066,174.0288933,173.8684708,55.17054112,57.012199,58.78906523,175.6860204,51.41676727,178.2632806,166.4300416,50.61949767,54.14323535,175.5212119,167.3694914,53.47124485,52.67397525,56.19771294,your hands are straight try to bend them
169.9027038,98.90672622,132.5997744,178.0815973,81.0915785,74.2243726,133.4583576,152.3333248,96.10847305,78.29332533,71.42611943,172.5506722,90.48391331,114.6376902,177.7694565,61.78950787,50.58281383,113.6520752,141.1015522,94.44872403,65.75431859,54.54762455,this is not the right way of doing
59.52581183,84.37132439,172.0354222,174.6862726,88.04535515,87.74042997,174.5786137,178.9768197,27.52309751,31.19712826,30.89220309,171.7031306,81.43848217,159.8267941,171.4601597,72.2420094,71.48316585,164.0445438,177.5631072,84.60651825,75.41004548,74.65120194,this is not the right way of doing
88.76064557,92.36505559,160.4947739,175.6766919,82.91847857,81.04513357,162.6426893,174.264659,114.2993511,104.852774,102.979429,98.876561,90.63169381,156.0600359,167.8088392,79.56098554,79.3198497,162.6250107,179.3219049,110.6479898,99.57728155,99.33614571,done perfectly
88.210144,80.74357772,175.6402957,179.3456247,78.59195094,78.10943061,175.9524434,178.4462978,107.7274016,105.5757748,105.0932545,108.0634917,83.00590079,170.7739202,176.0837264,78.37792378,78.17409171,172.570209,179.3181709,105.01047,100.382493,100.1786609,done perfectly
103.6163518,77.92457598,168.8110126,174.8849566,72.68423132,72.44113602,171.1974057,179.1664006,97.48938728,92.24904262,92.00594732,69.46844622,83.12541013,168.2560353,177.2654774,77.84632332,76.74201183,169.5741017,176.2696447,103.606168,98.32708115,97.22276967,done perfectly
168.1853316,35.80557543,162.6592847,178.7810015,28.3100041,25.96790682,163.2204425,171.3738546,30.72465642,23.2290851,20.88698781,171.957614,38.14261246,159.9284048,179.424115,29.56536193,26.49785403,160.2014273,169.0815403,34.52157643,25.94432591,22.87681801,you are being stationary
167.7493951,3.645727576,179.2588962,179.8196861,3.334377977,3.14619478,179.1660402,179.3899319,2.38274657,2.694096169,2.882279366,173.6429236,1.012380466,177.8270766,177.5949781,0.108031496,0.460295594,179.0753748,178.8635525,3.888883913,2.984534944,3.336799041,you are being stationary
170.6435465,26.70651611,27.40150491,22.12340119,91.19780354,41.54309868,123.6914707,110.2306088,30.90615431,95.39744173,45.74273687,174.8839191,9.659346381,4.565291264,12.30337642,30.15762612,1.450336842,92.4213602,147.9211127,12.11241929,27.70455321,1.002736065,not doing correctly 
177.2591068,73.90431861,165.950875,179.552967,67.93675026,65.67490384,166.1726089,172.3654763,75.18646522,69.21889687,66.95705044,177.1350675,70.31932545,166.3568858,178.182175,64.19251828,62.5404797,167.2194186,174.3015181,71.60851305,65.48170587,63.82966729,your hands are straight try to bend them
171.1522481,3.102552558,179.6524902,175.8924213,3.245665637,2.174450017,178.3806585,176.096818,0.711828569,0.568715491,1.639931111,164.1830768,4.542008876,179.2817745,176.5181199,4.247768102,3.12759578,177.5567862,176.0941352,2.882875807,3.177116581,4.297288903,you are being stationary
179.417214,13.56233642,173.9252942,179.6207148,10.89288156,9.771877874,173.7398597,176.2154639,13.82625365,11.15679879,10.03579511,179.2764446,12.11386045,176.3410166,179.3290072,10.50365446,9.704771555,176.0150623,177.2802298,12.47359378,10.86338779,10.06450488,you are being stationary
170.4396018,10.48077054,172.5065403,177.2303713,7.266611127,6.875566275,173.7486166,178.4903284,6.41350602,3.199346606,2.808301754,166.0275256,12.86249815,172.5878014,178.378681,9.695556445,9.018113702,173.3147652,177.3760621,6.220664677,3.053722972,2.376280228,you are being stationary
170.7200099,57.69165313,162.8790154,173.731603,49.8948084,45.52286804,159.9989566,164.4074631,62.13267295,54.33582822,49.96388786,169.7696612,54.95462436,164.5558389,179.0317476,47.94424095,45.36478359,164.1176723,170.5979699,60.00886442,52.99848101,50.41902364,you are being stationary
175.5111779,11.42653583,168.4508066,179.8545029,6.04457619,4.157075572,168.3814385,173.6872691,9.430234939,4.048275302,2.160774684,170.0604376,20.3342206,166.9879106,179.3440832,14.3653041,12.50608717,167.2967449,173.6127438,15.76742159,9.798505083,7.939288156,you are being stationary
139.1338652,23.0458243,110.7520324,99.7259346,3.664036944,18.99834508,173.0309828,149.5921149,5.599953182,13.78183418,1.552473962,13.04693445,23.59237184,140.4564835,141.131282,16.97399758,19.70318907,172.7799174,174.0564242,100.2794789,106.8978532,104.1686617,not doing correctly 
19.47562508,10.37170767,120.9123158,41.66668872,6.880577422,20.58453157,145.0317529,83.50208782,2.219032696,19.47131779,7.9937912,70.30482735,17.84923545,97.57566178,33.88387475,4.241948126,27.33602035,148.9157454,94.21702939,0.652106578,22.74329015,8.834678321,not doing correctly 
24.31132506,9.825603857,125.9648441,45.42432295,4.037505323,18.74330446,145.9404002,85.59636966,0.085302069,13.94841125,8.832398537,33.01076183,7.401083153,30.11952451,42.70251922,24.56450015,21.92298955,144.2047043,175.4195777,13.96587793,3.197539071,0.556028474,not doing correctly 
